,text,ext,neu,agr,con,opn
0,well right woke nap sort weird ever since moved texas problem concentrating thing remember starting homework grade soon clock stopping done course easier still moved homework got little challenging lot busy work decided spend hour getting thing always paid attention class plain knew stuff look back really worked hard stayed track last two year without getting lazy would genius hey thats good late correct past really know stay focused future one thing know people say live campus cant concentrate would easier living home eye parent little sister get point another thing hassle way back school library study need move know tell get wrong see theyre coming want move need get away theyve much worry world thing ask keep room clean help business cant even need got enough money live dorm apartment next semester think ill take advantage topic went sixth street last night blast long know love austin much lived used time blast many student running around night want fun know responsible enough able fun keep priority straight living home cant without asking coming back question wish could treated like responsible person sister screwed went crazy second moved college messed whole college career partying much thats ultimate reason want fun little anymore need let explore world indian indian culture indian value fun mean sense meeting people going people partying plain fun school difficult already somehow think freedom put pressure better school thats parent expect well fun writing know anything writing helped get thought order hope fun reading good luck,0,1,1,0,1
1,well stream consciousness essay used thing like high school sometimes pretty interesting often find lack thing say normally consider someone get straight point wonder hit enter time send back front maybe ill fix later friend playing guitar room sort playing anyway like messing he still learning there drawing wall next book character think sure since ive kept heard sound thats chat program internet know much cant really explain well anyway hope done time another friend come nice talk went home weekend labor day brother sure reason guess hmm start wow long line guess change later okay running thing talk ive found happens lot conversation interesting person guess well know something working class might help phone rang get guy playing guitar answered roommate suitemate came started reading uncomfortable he bathroom know really boring piece never realized dull everyday thought keep mind constantly moving like really time stop think thing wonder long going think ten minute second line sad well really considering long line anyway wonder going rest night guess there always homework guess well see seat uncomfortable back sort hurt think going get older always thought like grow old old suppose ive always active person fear growing old think guess itll away age know well deal accident though long god friend around ill okay though pretty thirsty right much drink around room ultimate played summer fun game tiring shape like get better shape hate running dull hmmm almost minute let see make next line short goal whatever anyway else tonight guess could read shirt smell like dinner pretty disgusting need wake class tomorrow remember early well made next line proud thats way wonder suppose right thing well late time head next time good bye good luck know,0,0,1,0,0
2,open keyboard button push thing finally worked need use period think double space period cant help put space word happy little assignment relaxing minute feel silly unknown reader graduate student job think cross added lip cigarette think thing thinking know thinking writing let say thought back behind tongue maybe somewhere point hiding sea think san think cow shit think think living leg itch clear nail hope bug living leg remember remember think thought supposed assignment thought wonder think sentence wonder affect typing stream consciousness wonder way typing speed study student green table kitchen make want orange color wish united state run year wonder hope get back lab really need find pay may back library job would make world entirely bad need focus school period two space period mistake want eat hungry wonder many people talk food little computer feel open happy know think house remember went spider hurt wall pain place blue wall sex sex sex yeah strange assignment ringing head finish start bell get bio bond thinking last letter first name think must granted full one one opposite direction thinking poetry mike guitar slowly slowly slowly learning play wonder go study wonder happy little bored student word wonder mess study random word like know wish thing easier wish keeping eye clock wondering long typing wishing finished need find work lab spring hate cat wish could managed waste minute time think know write took minute write minute thinking nothing wishing financial aid would come way need job time time sign tree,0,1,0,1,1
3,cant believe really happening like mad like finally know feel like step wonder going get sleep tonight sure well course million deadline meet tomorrow ill late anyway excited yes yes cant believe finally happening wait calm couple yet end liking would horrible great wonder long itll take finish calculus problem ill get done always amy cant believe bob really thing turn right ever wonder steve right entire month ill likely clean refrigerator food lunch tomorrow ever say perfect every way important think way well maybe perfect certainly would ever thought good thing indeed come wait ill remember sign poster made tomorrow morning hope alarm clock would slept til noon missed lunch thank goodness coming along definitely need support well bob take away tension put ease ill say thing get better right hopefully nervous maybe even itll world human put maybe love really worth,1,0,1,1,0
4,well good old stream consciousness assignment feel like back freshman english class thats bad thing mind english teacher freshman year made assignment constantly mine always completely ridiculous like wow really hungry wish could taco bell really point except busy work psychology class though see behind assignment like letting mind free putting random thought writing could big help psychological well thats true want yall getting wrong idea today first day class really nut case people may think really normal kind actually texas guess normal like eat breakfast country steak dinner even much le like kind mind starting pressure guess spot want bored reading ever get around reading well going stress yet probably going listen random babbling paragraph computer big old pain as sure theyve got computer unfortunately weve got student trying use time think ill spending quite late late night computer center get stuff done thats college night library yeah right point even know college probably say anything though seeing going write another one day topic college blah blah blah cant believe actually assignment day assigned talk really cant believe high school procrastination middle name first name second semester free period day actual class damn thing great unfortunately going work much harder get studying skill back high school trip wait get hated school town everything except friend course family moved right graduation learned real quick worse place old town least back home friend boyfriend piece crap car knew moved friend life car nothing worked day thats though ready whole college thing austin seems like fun city might actually enjoy spending next four year yeah subject four year professor give speech stuff always make sound like well college like year sorry plan graduating year whats problem people cant graduate year get yall reading took like year work trying knock trying figure well exactly minute started little piece writing make sense point really sure assignment like supposed analyze personal stream consciousness took mean personality guess could say mind work way even essay seems connected see pattern yeah went back tried read ive got give assignment make box writing box see whole line writing one time without across real big pain sure big pain trying read unless course read see whole line know thanks taking time give opportunity get easy final grade writing assignment,1,0,1,0,1
5,today turn music today went meeting hopefully radio show know talk considered great song start cool beginning start well cant perfect roommate playing game play game much much time get homework know song rather deep way cant decide whether actually want study medical technology love many thing form chemistry religious study speaking good time meeting student ahh gotta love chair let push back well yeah meeting met several people seems rather worried one woman though like wise unable speak ill well charge running monday tuesday song one team roommate well guess typing rather poor assignment taking long time minute yes meeting talked apparently come word several hundred different following world due number world sexy voice would love make love song well much info fun word fun think perhaps slowly running thing say song reminds young age riding car talking family bright back thing happy perhaps remember well car full dog around anymore either taken wonder know miss wish could find possibly course spirit know yes shall ever childhood bear interesting mark past cant seem exact detail like others brown best word really suck wonder still lying answering machine love bright color interest manner manner calm like calm though activity occasion good good color yes though good there philosophy believe nothing everything interesting currently reading order seems rather interesting though bit almost side remember reading story spider field yeah looking upon look want past life find wonder anyone famous popular wow saying rather strange thing interesting head hurt room hot would like stop minute left nothing say except watching finger press button rather enjoyable activity press slowly heavy sometimes fast mean light yeah light hope right putting consciousness record others read guess thats cool interesting though said little wonder saying ahh three minute passed typing ill slow,1,0,1,0,1
6,stream consciousness write supposed kind direction supposed write exactly thinking feel like strange assignment homework seems pretty easy actually would pretty worth however much worth hmm reason seems like thinking nothing well let see happened today quiz actually able guess way chance faith definitely pay always say important faith thats life faith fun life funny thing one minute gone next like example died happened somebody finger killed well hanging story hotel time poor poor mr street selling apple point plan ahead government got everything damn movie seems difficult figure thinking try blank keep trying figure stream conscience life good entire internet business pretty cool never would thought could write paper send teacher pushing submit button wonder much longer writing ten minute left everyone always asks thinking sitting thinking usually say nothing want tell trying think thinking getting nothing great sport going cup going played one biggest world team going great believe dropped team granted little form would taken indian crap around park back beginning seem kind silly hope point wonder body actually going read reason doubt whoever reading though feel sorry lot people talk read maybe idea screen really weird come three line popped writing minute kind see written believe thought fact noticed much screen interesting getting tired typing waiting final minute tick away hope gain something think actually might idea thinking early kind told long actually pretty scary god know technology anyway hope enjoy reading quite possible enjoyed writing fun relaxing write something without back seems like typer actually anyway minute faith fun read give even though matter completion grade stuff amazing class,0,0,1,0,0
7,site piece sent first required message another person name probably get credit worse yet cant access computer suck bad enough wait line use one well thats got get perhaps bring old one home seems different even though basically everything desk home right desk spent hour hour work listening favorite music right hear right stereo hall would shut paying anyway come mile upon mile right stupid sound effect loud music wanted hear simpson would change channel get watch minute day certainly want choose roommate choose inconsiderate hall get speaking hall turn tight one computer room used feel carpet foot cold taste coke walked quickly room begin work night show missed missed hour television pure beat see carpet wall right bed used love gave ear night reminds came large clean house thought bob cat called mean ate bowl day pound cat gut reminds cat twenty human pound theatre awesome guy freak cool could hot chocolate like christmas musical went guy pretty short mom worked floor play pool insane used smell fun,0,0,0,1,1
8,really unsure assignment afraid able think thing say minute ill start mad right last night allison stephanie went paul allison went last weekend fun anyway drove hour get hang later first went house even want inside use bathroom went outside thats gross drove place made get bed truck drove flying around played ive never game realize stephanie like thats cool smell like shit something scared stephanie telling story turned around went time scared get field paul already asshole took dog allison begun paul flip left bitch truck start walking toward turned paul bitch give fuck went back could get truck never entire life whole time took afraid going get something trying tell parent loved would miss going die heard voice yelling name asking help coming back make sure okay happy minute later others came back looked like night living dead hair told wished theyd stayed got clothes drove home whole time paul allison everything like shit think could much better love told get home class ive missed much already made basically consuming today sorry wanted,1,1,0,1,1
9,today tough day cant believed failed talk girl ever much power probably sun kicking cant wait football game saturday definitely going beat lost last week weak team point calculus class going boring tomorrow professor going continue lecture limit hope get homework else busy wed night phone next door driving crazy kyle high need buy bush soon song let overcome fear talking hope concert know weird freak seems enjoy studying chemistry reason extra problem even though due guess feel insecure ability chemistry hope win next week good game knowing luck even game care cowboy tonight want email steve tell difficult girlfriend maybe thing clear next day finally courage good never like long time maybe thinking much screwing know better baseball season almost near hope catch back world parent probably trying call right wondering phone line busy wondering adjusting rice hope getting depressed seeing paul help get hard time glad summer needed good friend could understand really miss lot time know fine sound like parent wonder drive dad probably giving lecture happened summer room need idiot next door music girl suck going listen music least show taste think starting feel effect chicken dog look like must attached toy,1,1,1,1,0
